Sta_ID	Depth_ID	Depthm	T_degC	O2Sat	Salnty
044.0 048.5	19-4904CR-HY-087-0606-04400485-0000B-3	0	10.3	92.8	33.03
044.0 048.5	19-4904CR-HY-087-0606-04400485-0006A-3	6	18.46	111.8	32.92
044.0 048.5	19-4904CR-HY-087-0606-04400485-0010A-7	10	10.29	95.0	32.951
044.0 048.5	19-4904CR-HY-087-0606-04400485-0015A-3	15	10.29	95.3	32.99
044.0 048.5	19-4904CR-HY-087-0606-04400485-0020A-7	20	10.33	95.1	33.005
044.0 048.5	19-4904CR-HY-087-0606-04400485-0030A-7	30	10.39	94.8	33.054
044.0 048.5	19-4904CR-HY-087-0606-04400485-0031A-3	31	10.4	94.8	33.06
044.0 048.5	19-4904CR-HY-087-0606-04400485-0047A-3	47	10.36	91.1	33.15
044.0 048.5	19-4904CR-HY-087-0606-04400485-0050A-7	50	10.35	90.8	33.167
044.0 048.5	19-4904CR-HY-087-0606-04400485-0064A-3	64	10.25	88.1	33.26
044.0 048.5	19-4904CR-HY-087-0606-04400485-0075A-7	75	10.05	79.5	33.381
044.0 048.5	19-4904CR-HY-087-0606-04400485-0098A-3	98	9.54	59.3	33.64
044.0 048.5	19-4904CR-HY-087-0606-04400485-0100A-7	100	9.5	58.3	33.656
044.0 048.5	19-4904CR-HY-087-0606-04400485-0125A-7	125	9.05	49.2	33.81
044.0 048.5	19-4904CR-HY-087-0606-04400485-0132A-3	132	8.93	47.5	33.84
044.0 048.5	19-4904CR-HY-087-0606-04400485-0150A-7	150	8.66	41.3	33.891
044.0 048.5	19-4904CR-HY-087-0606-04400485-0197A-3	197	8.04	26.8	33.96
044.0 048.5	19-4904CR-HY-087-0606-04400485-0200A-7	200	8.01	26.2	33.966
044.0 048.5	19-4904CR-HY-087-0606-04400485-0250A-7	250	7.53	17.7	34.058
044.0 048.5	19-4904CR-HY-087-0606-04400485-0300A-7	300	7.11	11.9	34.136
044.0 048.5	19-4904CR-HY-087-0606-04400485-0382A-3	382	6.55	8.3	34.23
044.0 048.5	19-4904CR-HY-087-0606-04400485-0400A-7	400	6.41	8.1	34.232
044.0 048.5	19-4904CR-HY-087-0606-04400485-0500A-7	500	5.66	6.8	34.232
044.0 048.5	19-4904CR-HY-087-0606-04400485-0569A-3	569	5.2	6.1	34.22
044.0 048.5	19-4904CR-HY-087-0606-04400485-0600A-7	600	5.06	6.0	34.241
044.0 048.5	19-4904CR-HY-087-0606-04400485-0700A-7	700	4.6	5.7	34.313
044.0 048.5	19-4904CR-HY-087-0606-04400485-0800A-7	800	4.14	5.5	34.386
044.0 048.5	19-4904CR-HY-087-0606-04400485-0818A-3	818	4.06	5.5	34.4
042.0 068.0	19-4904CR-HY-091-1418-04200680-0000B-3	0	9.8	96.5	32.63
042.0 068.0	19-4904CR-HY-091-1418-04200680-0009A-3	9	9.63	98.1	32.74
042.0 068.0	19-4904CR-HY-091-1418-04200680-0010A-7	10	9.63	98.1	32.738
042.0 068.0	19-4904CR-HY-091-1418-04200680-0020A-7	20	9.65	97.4	32.722
042.0 068.0	19-4904CR-HY-091-1418-04200680-0021A-3	21	9.65	97.2	32.72
042.0 068.0	19-4904CR-HY-091-1418-04200680-0030A-7	30	9.78	98.1	32.78
042.0 068.0	19-4904CR-HY-091-1418-04200680-0042A-3	42	9.96	99.2	32.9
042.0 068.0	19-4904CR-HY-091-1418-04200680-0050A-7	50	9.95	97.8	32.941
042.0 068.0	19-4904CR-HY-091-1418-04200680-0063A-3	63	9.93	95.7	33.08
042.0 068.0	19-4904CR-HY-091-1418-04200680-0075A-7	75	9.04	81.0	33.219
042.0 068.0	19-4904CR-HY-091-1418-04200680-0084A-3	84	8.3	69.2	33.33
042.0 068.0	19-4904CR-HY-091-1418-04200680-0100A-7	100	8.07	59.1	33.506
042.0 068.0	19-4904CR-HY-091-1418-04200680-0124A-3	124	7.72	51.3	33.62
042.0 068.0	19-4904CR-HY-091-1418-04200680-0125A-7	125	7.71	51.1	33.627
042.0 068.0	19-4904CR-HY-091-1418-04200680-0150A-7	150	7.43	47.1	33.78
042.0 068.0	19-4904CR-HY-091-1418-04200680-0165A-3	165	7.28	45.3	33.86
042.0 068.0	19-4904CR-HY-091-1418-04200680-0200A-7	200	6.93	33.3	33.951
042.0 068.0	19-4904CR-HY-091-1418-04200680-0243A-3	243	6.53	19.8	33.96
042.0 068.0	19-4904CR-HY-091-1418-04200680-0250A-7	250	6.47	19.9	34.026
042.0 068.0	19-4904CR-HY-091-1418-04200680-0300A-7	300	6.09	20.6	34.037
042.0 068.0	19-4904CR-HY-091-1418-04200680-0323A-3	323	5.93	20.9	34.02
042.0 068.0	19-4904CR-HY-091-1418-04200680-0400A-7	400	5.43	16.7	34.065
042.0 068.0	19-4904CR-HY-091-1418-04200680-0487A-3	487	4.96	10.4	34.11
042.0 068.0	19-4904CR-HY-091-1418-04200680-0500A-7	500	4.91	10.1	34.12
042.0 068.0	19-4904CR-HY-091-1418-04200680-0600A-7	600	4.58	8.2	34.195
042.0 068.0	19-4904CR-HY-091-1418-04200680-0700A-7	700	4.32	6.2	34.271
042.0 068.0	19-4904CR-HY-091-1418-04200680-0750A-3	750	4.22	5.2	34.31
042.0 068.0	19-4904CR-HY-091-1418-04200680-1110A-3	1110	3.17	28.5	33.96
041.0 077.0	19-4904CR-HY-092-0030-04100770-0000B-3	0	10.09	92.1	32.79
041.0 077.0	19-4904CR-HY-092-0030-04100770-0010A-7	10	9.85	81.2	32.767
041.0 077.0	19-4904CR-HY-092-0030-04100770-0020A-7	20	9.61	94.4	32.744
041.0 077.0	19-4904CR-HY-092-0030-04100770-0022A-3	22	9.57	98.0	32.74
041.0 077.0	19-4904CR-HY-092-0030-04100770-0030A-7	30	9.57	97.3	32.74
041.0 077.0	19-4904CR-HY-092-0030-04100770-0044A-3	44	9.56	96.1	32.74
041.0 077.0	19-4904CR-HY-092-0030-04100770-0050A-7	50	9.55	94.2	32.755
041.0 077.0	19-4904CR-HY-092-0030-04100770-0064A-3	64	9.54	90.1	32.83
041.0 077.0	19-4904CR-HY-092-0030-04100770-0075A-7	75	9.15	88.8	32.87
041.0 077.0	19-4904CR-HY-092-0030-04100770-0084A-3	84	8.78	87.5	32.92
041.0 077.0	19-4904CR-HY-092-0030-04100770-0100A-7	100	8.37	77.3	33.139
041.0 077.0	19-4904CR-HY-092-0030-04100770-0123A-3	123	8.0	61.1	33.49
041.0 077.0	19-4904CR-HY-092-0030-04100770-0125A-7	125	7.98	60.4	33.51
041.0 077.0	19-4904CR-HY-092-0030-04100770-0150A-7	150	7.81	52.9	33.716
041.0 077.0	19-4904CR-HY-092-0030-04100770-0161A-3	161	7.76	50.8	33.78
041.0 077.0	19-4904CR-HY-092-0030-04100770-0200A-7	200	7.27	43.0	33.943
041.0 077.0	19-4904CR-HY-092-0030-04100770-0236A-3	236	6.76	36.8	34.02
041.0 077.0	19-4904CR-HY-092-0030-04100770-0250A-7	250	6.61	34.1	34.037
041.0 077.0	19-4904CR-HY-092-0030-04100770-0300A-7	300	6.12	25.0	34.069
041.0 077.0	19-4904CR-HY-092-0030-04100770-0311A-3	311	6.03	23.3	34.07
041.0 077.0	19-4904CR-HY-092-0030-04100770-0400A-7	400	5.37	14.4	34.111
041.0 077.0	19-4904CR-HY-092-0030-04100770-0467A-3	467	4.98	10.8	34.14
041.0 077.0	19-4904CR-HY-092-0030-04100770-0500A-7	500	4.85	9.9	34.168
041.0 077.0	19-4904CR-HY-092-0030-04100770-0600A-7	600	4.51	7.5	34.247
041.0 077.0	19-4904CR-HY-092-0030-04100770-0700A-7	700	4.26	5.0	34.317
041.0 077.0	19-4904CR-HY-092-0030-04100770-0720A-3	720	4.22	4.5	34.33
041.0 077.0	19-4904CR-HY-092-0030-04100770-0800A-7	800	3.99	5.6	34.319
041.0 077.0	19-4904CR-HY-092-0030-04100770-0900A-7	900	3.7	6.9	34.306
041.0 077.0	19-4904CR-HY-092-0030-04100770-1000A-7	1000	3.41	8.2	34.295
041.0 077.0	19-4904CR-HY-092-0030-04100770-1043A-3	1043	3.29	8.7	34.29
039.0 096.0	19-4904CR-HY-092-1348-03900960-0000B-3	0	9.7	94.2	32.75
039.0 096.0	19-4904CR-HY-092-1348-03900960-0009A-3	9	9.78	98.6	32.81
039.0 096.0	19-4904CR-HY-092-1348-03900960-0010A-7	10	9.78	98.6	32.808
039.0 096.0	19-4904CR-HY-092-1348-03900960-0020A-7	20	9.75	98.7	32.774
039.0 096.0	19-4904CR-HY-092-1348-03900960-0021A-3	21	9.75	98.7	32.77
039.0 096.0	19-4904CR-HY-092-1348-03900960-0030A-7	30	9.75	97.3	32.795
039.0 096.0	19-4904CR-HY-092-1348-03900960-0042A-3	42	9.75	95.3	32.83
039.0 096.0	19-4904CR-HY-092-1348-03900960-0050A-7	50	9.74	95.7	32.798
039.0 096.0	19-4904CR-HY-092-1348-03900960-0062A-3	62	9.72	96.3	32.75
039.0 096.0	19-4904CR-HY-092-1348-03900960-0075A-7	75	8.94	84.7	33.014
039.0 096.0	19-4904CR-HY-092-1348-03900960-0082A-3	82	8.47	77.2	33.19
039.0 096.0	19-4904CR-HY-092-1348-03900960-0100A-7	100	7.97	65.4	33.428
039.0 096.0	19-4904CR-HY-092-1348-03900960-0118A-3	118	7.78	57.3	33.58
039.0 096.0	19-4904CR-HY-092-1348-03900960-0125A-7	125	7.71	55.0	33.637
039.0 096.0	19-4904CR-HY-092-1348-03900960-0150A-7	150	7.52	49.0	33.8
039.0 096.0	19-4904CR-HY-092-1348-03900960-0154A-3	154	7.5	48.4	33.82
039.0 096.0	19-4904CR-HY-092-1348-03900960-0200A-7	200	7.12	43.1	33.929
039.0 096.0	19-4904CR-HY-092-1348-03900960-0228A-3	228	6.87	40.8	33.94
039.0 096.0	19-4904CR-HY-092-1348-03900960-0250A-7	250	6.63	37.0	33.955
039.0 096.0	19-4904CR-HY-092-1348-03900960-0300A-7	300	6.08	28.2	33.979
039.0 096.0	19-4904CR-HY-092-1348-03900960-0304A-3	304	6.04	27.4	33.98
039.0 096.0	19-4904CR-HY-092-1348-03900960-0400A-7	400	5.23	17.2	34.041
039.0 096.0	19-4904CR-HY-092-1348-03900960-0457A-3	457	4.86	13.3	34.08
039.0 096.0	19-4904CR-HY-092-1348-03900960-0500A-7	500	4.67	11.0	34.113
039.0 096.0	19-4904CR-HY-092-1348-03900960-0600A-7	600	4.31	7.0	34.185
039.0 096.0	19-4904CR-HY-092-1348-03900960-0700A-7	700	4.08	5.1	34.248
039.0 096.0	19-4904CR-HY-092-1348-03900960-0703A-3	703	4.08	5.1	34.25
039.0 096.0	19-4904CR-HY-092-1348-03900960-0800A-7	800	3.84	4.9	34.273
039.0 096.0	19-4904CR-HY-092-1348-03900960-0900A-7	900	3.6	4.6	34.297
039.0 096.0	19-4904CR-HY-092-1348-03900960-1000A-7	1000	3.35	4.3	34.322
039.0 096.0	19-4904CR-HY-092-1348-03900960-1030A-3	1030	3.28	4.3	34.33
036.7 115.0	19-4904CR-HY-093-0036-03671150-0009A-3	9	11.57	96.3	32.92
036.7 115.0	19-4904CR-HY-093-0036-03671150-0010A-7	10	11.55	96.4	32.92
036.7 115.0	19-4904CR-HY-093-0036-03671150-0020A-7	20	11.39	97.1	32.92
036.7 115.0	19-4904CR-HY-093-0036-03671150-0023A-3	23	11.36	97.2	32.92
036.7 115.0	19-4904CR-HY-093-0036-03671150-0030A-7	30	11.35	96.8	32.924
036.7 115.0	19-4904CR-HY-093-0036-03671150-0047A-3	47	11.33	95.5	32.94
036.7 115.0	19-4904CR-HY-093-0036-03671150-0050A-7	50	11.3	95.3	32.945
036.7 115.0	19-4904CR-HY-093-0036-03671150-0070A-3	70	11.01	94.2	32.97
036.7 115.0	19-4904CR-HY-093-0036-03671150-0075A-7	75	10.96	94.8	32.963
036.7 115.0	19-4904CR-HY-093-0036-03671150-0093A-3	93	10.71	95.3	32.95
036.7 115.0	19-4904CR-HY-093-0036-03671150-0100A-7	100	10.5	92.9	32.979
036.7 115.0	19-4904CR-HY-093-0036-03671150-0125A-7	125	9.68	82.6	33.135
036.7 115.0	19-4904CR-HY-093-0036-03671150-0139A-3	139	9.18	76.2	33.26
036.7 115.0	19-4904CR-HY-093-0036-03671150-0150A-7	150	8.9	74.7	33.357
036.7 115.0	19-4904CR-HY-093-0036-03671150-0184A-3	184	8.18	71.7	33.64
036.7 115.0	19-4904CR-HY-093-0036-03671150-0200A-7	200	7.94	68.3	33.709
036.7 115.0	19-4904CR-HY-093-0036-03671150-0250A-7	250	7.29	56.4	33.857
036.7 115.0	19-4904CR-HY-093-0036-03671150-0274A-3	274	7.04	49.8	33.89
036.7 115.0	19-4904CR-HY-093-0036-03671150-0300A-7	300	6.68	43.3	33.967
036.7 115.0	19-4904CR-HY-093-0036-03671150-0364A-3	364	5.88	28.9	34.15
036.7 115.0	19-4904CR-HY-093-0036-03671150-0400A-7	400	5.61	23.3	34.162
036.7 115.0	19-4904CR-HY-093-0036-03671150-0500A-7	500	5.08	11.9	34.199
036.7 115.0	19-4904CR-HY-093-0036-03671150-0550A-3	550	4.93	8.7	33.96
036.7 115.0	19-4904CR-HY-093-0036-03671150-0600A-7	600	4.75	7.9	34.238
036.7 115.0	19-4904CR-HY-093-0036-03671150-0700A-7	700	4.41	6.6	34.279
036.7 115.0	19-4904CR-HY-093-0036-03671150-0800A-7	800	4.13	5.4	34.322
036.7 115.0	19-4904CR-HY-093-0036-03671150-0841A-3	841	4.03	4.8	34.34
036.7 115.0	19-4904CR-HY-093-0036-03671150-1215A-3	1215	3.04	76.6	33.36
042.0 068.0	19-4905HO-HY-127-0606-04200680-0000B-3	0	12.38	101.4	32.88
042.0 068.0	19-4905HO-HY-127-0606-04200680-0009A-3	9	12.27	102.0	32.88
042.0 068.0	19-4905HO-HY-127-0606-04200680-0010A-7	10	12.25	102.1	32.876
042.0 068.0	19-4905HO-HY-127-0606-04200680-0020A-7	20	12.01	103.1	32.844
042.0 068.0	19-4905HO-HY-127-0606-04200680-0022A-3	22	11.95	103.2	32.84
042.0 068.0	19-4905HO-HY-127-0606-04200680-0030A-7	30	11.67	102.0	32.898
042.0 068.0	19-4905HO-HY-127-0606-04200680-0044A-3	44	11.09	99.6	33.04
042.0 068.0	19-4905HO-HY-127-0606-04200680-0050A-7	50	10.79	98.4	33.065
042.0 068.0	19-4905HO-HY-127-0606-04200680-0067A-3	67	10.04	92.7	33.17
042.0 068.0	19-4905HO-HY-127-0606-04200680-0075A-7	75	9.89	87.1	33.294
042.0 068.0	19-4905HO-HY-127-0606-04200680-0087A-3	87	9.76	77.6	33.49
042.0 068.0	19-4905HO-HY-127-0606-04200680-0100A-7	100	9.55	67.4	33.614
042.0 068.0	19-4905HO-HY-127-0606-04200680-0125A-7	125	9.14	50.5	33.776
042.0 068.0	19-4905HO-HY-127-0606-04200680-0131A-3	131	9.04	47.0	33.8
042.0 068.0	19-4905HO-HY-127-0606-04200680-0150A-7	150	8.73	39.9	33.909
042.0 068.0	19-4905HO-HY-127-0606-04200680-0174A-3	174	8.36	34.1	34.02
042.0 068.0	19-4905HO-HY-127-0606-04200680-0200A-7	200	8.01	32.5	34.07
042.0 068.0	19-4905HO-HY-127-0606-04200680-0250A-7	250	7.42	29.5	34.1
042.0 068.0	19-4905HO-HY-127-0606-04200680-0260A-3	260	7.32	29.0	34.11
042.0 068.0	19-4905HO-HY-127-0606-04200680-0300A-7	300	6.94	24.4	34.169
042.0 068.0	19-4905HO-HY-127-0606-04200680-0347A-3	347	6.56	19.1	34.23
042.0 068.0	19-4905HO-HY-127-0606-04200680-0400A-7	400	6.22	17.5	34.21
042.0 068.0	19-4905HO-HY-127-0606-04200680-0500A-7	500	5.71	14.5	34.203
042.0 068.0	19-4905HO-HY-127-0606-04200680-0520A-3	520	5.63	13.9	34.2
042.0 068.0	19-4905HO-HY-127-0606-04200680-0600A-7	600	5.46	12.3	34.226
042.0 068.0	19-4905HO-HY-127-0606-04200680-0700A-7	700	5.26	10.3	34.26
042.0 068.0	19-4905HO-HY-127-0606-04200680-0800A-7	800	5.05	8.3	34.294
042.0 068.0	19-4905HO-HY-127-0606-04200680-0900A-7	900	4.84	6.3	34.329
042.0 068.0	19-4905HO-HY-127-0606-04200680-0988A-3	988	4.66	4.6	34.36
041.0 077.0	19-4905HO-HY-127-1206-04100770-0000B-3	0	12.18	103.7	32.79
041.0 077.0	19-4905HO-HY-127-1206-04100770-0008A-3	8	12.35	102.0	32.83
041.0 077.0	19-4905HO-HY-127-1206-04100770-0010A-7	10	12.35	102.2	32.832
041.0 077.0	19-4905HO-HY-127-1206-04100770-0020A-7	20	12.35	102.8	32.839
041.0 077.0	19-4905HO-HY-127-1206-04100770-0021A-3	21	12.35	102.8	32.84
041.0 077.0	19-4905HO-HY-127-1206-04100770-0030A-7	30	11.53	102.5	32.84
041.0 077.0	19-4905HO-HY-127-1206-04100770-0042A-3	42	10.24	100.7	32.84
041.0 077.0	19-4905HO-HY-127-1206-04100770-0050A-7	50	9.83	98.4	32.846
041.0 077.0	19-4905HO-HY-127-1206-04100770-0063A-3	63	9.42	94.0	32.88
041.0 077.0	19-4905HO-HY-127-1206-04100770-0075A-7	75	9.1	90.3	32.974
041.0 077.0	19-4905HO-HY-127-1206-04100770-0084A-3	84	8.89	86.8	33.06
041.0 077.0	19-4905HO-HY-127-1206-04100770-0100A-7	100	8.44	73.4	33.238
041.0 077.0	19-4905HO-HY-127-1206-04100770-0125A-7	125	7.82	53.1	33.499
041.0 077.0	19-4905HO-HY-127-1206-04100770-0150A-7	150	7.51	46.3	33.737
041.0 077.0	19-4905HO-HY-127-1206-04100770-0170A-3	170	7.35	44.7	33.91
041.0 077.0	19-4905HO-HY-127-1206-04100770-0200A-7	200	6.99	39.2	33.998
041.0 077.0	19-4905HO-HY-127-1206-04100770-0250A-7	250	6.43	30.6	34.032
041.0 077.0	19-4905HO-HY-127-1206-04100770-0255A-3	255	6.38	29.8	34.04
041.0 077.0	19-4905HO-HY-127-1206-04100770-0300A-7	300	6.06	24.1	34.093
041.0 077.0	19-4905HO-HY-127-1206-04100770-0340A-3	340	5.82	20.0	34.13
041.0 077.0	19-4905HO-HY-127-1206-04100770-0400A-7	400	5.38	15.3	34.156
041.0 077.0	19-4905HO-HY-127-1206-04100770-0500A-7	500	4.7	9.6	34.179
041.0 077.0	19-4905HO-HY-127-1206-04100770-0510A-3	510	4.64	9.2	34.18
041.0 077.0	19-4905HO-HY-127-1206-04100770-0600A-7	600	4.54	8.7	34.205
041.0 077.0	19-4905HO-HY-127-1206-04100770-0700A-7	700	4.43	8.3	34.233
041.0 077.0	19-4905HO-HY-127-1206-04100770-0800A-7	800	4.32	7.9	34.261
041.0 077.0	19-4905HO-HY-127-1206-04100770-0900A-7	900	4.21	7.4	34.289
041.0 077.0	19-4905HO-HY-127-1206-04100770-1000A-7	1000	4.1	6.9	34.318
041.0 077.0	19-4905HO-HY-127-1206-04100770-1044A-3	1044	4.05	6.7	34.33
039.0 096.0	19-4905HO-HY-128-0530-03900960-0000B-3	0	12.23	96.2	32.7
039.0 096.0	19-4905HO-HY-128-0530-03900960-0009A-3	9	11.56	96.2	32.75
039.0 096.0	19-4905HO-HY-128-0530-03900960-0010A-7	10	11.51	96.3	32.753
039.0 096.0	19-4905HO-HY-128-0530-03900960-0020A-7	20	11.15	96.5	32.77
039.0 096.0	19-4905HO-HY-128-0530-03900960-0022A-3	22	11.11	96.6	32.77
039.0 096.0	19-4905HO-HY-128-0530-03900960-0030A-7	30	10.98	95.5	32.767
039.0 096.0	19-4905HO-HY-128-0530-03900960-0045A-3	45	10.7	93.1	32.75
039.0 096.0	19-4905HO-HY-128-0530-03900960-0050A-7	50	10.48	93.2	32.75
039.0 096.0	19-4905HO-HY-128-0530-03900960-0068A-3	68	9.63	93.5	32.75
039.0 096.0	19-4905HO-HY-128-0530-03900960-0075A-7	75	9.4	93.0	32.718
039.0 096.0	19-4905HO-HY-128-0530-03900960-0090A-3	90	9.0	92.1	32.68
039.0 096.0	19-4905HO-HY-128-0530-03900960-0100A-7	100	8.76	88.0	32.794
039.0 096.0	19-4905HO-HY-128-0530-03900960-0125A-7	125	8.29	76.3	33.156
039.0 096.0	19-4905HO-HY-128-0530-03900960-0136A-3	136	8.13	70.6	33.35
039.0 096.0	19-4905HO-HY-128-0530-03900960-0150A-7	150	8.0	66.8	33.467
039.0 096.0	19-4905HO-HY-128-0530-03900960-0182A-3	182	7.77	60.3	33.66
039.0 096.0	19-4905HO-HY-128-0530-03900960-0200A-7	200	7.6	56.4	33.776
039.0 096.0	19-4905HO-HY-128-0530-03900960-0250A-7	250	7.08	46.2	34.016
039.0 096.0	19-4905HO-HY-128-0530-03900960-0274A-3	274	6.82	41.8	34.09
039.0 096.0	19-4905HO-HY-128-0530-03900960-0300A-7	300	6.53	37.8	34.055
039.0 096.0	19-4905HO-HY-128-0530-03900960-0365A-3	365	5.86	29.2	33.98
039.0 096.0	19-4905HO-HY-128-0530-03900960-0400A-7	400	5.62	24.4	33.989
039.0 096.0	19-4905HO-HY-128-0530-03900960-0500A-7	500	5.09	12.9	34.067
039.0 096.0	19-4905HO-HY-128-0530-03900960-0548A-3	548	4.91	8.5	34.13
039.0 096.0	19-4905HO-HY-128-0530-03900960-0600A-7	600	4.68	7.9	34.187
039.0 096.0	19-4905HO-HY-128-0530-03900960-0700A-7	700	4.28	6.9	34.288
039.0 096.0	19-4905HO-HY-128-0530-03900960-0800A-7	800	3.94	5.9	34.38
039.0 096.0	19-4905HO-HY-128-0530-03900960-0823A-3	823	3.87	5.6	34.4
039.0 096.0	19-4905HO-HY-128-0530-03900960-0900A-7	900	3.71	6.4	34.407
039.0 096.0	19-4905HO-HY-128-0530-03900960-1000A-7	1000	3.49	7.6	34.417
039.0 096.0	19-4905HO-HY-128-0530-03900960-1100A-7	1100	3.28	8.6	34.427
039.0 096.0	19-4905HO-HY-128-0530-03900960-1200A-7	1200	3.07	9.6	34.439
039.0 096.0	19-4905HO-HY-128-0530-03900960-1212A-3	1212	3.04	9.8	34.44
036.7 115.0	19-4905HO-HY-128-1830-03671150-0000B-3	0	12.47	96.3	32.86
036.7 115.0	19-4905HO-HY-128-1830-03671150-0008A-3	8	12.65	97.4	32.84
036.7 115.0	19-4905HO-HY-128-1830-03671150-0010A-7	10	12.65	97.3	32.836
036.7 115.0	19-4905HO-HY-128-1830-03671150-0020A-7	20	12.66	97.4	32.812
036.7 115.0	19-4905HO-HY-128-1830-03671150-0021A-3	21	12.66	97.3	32.81
036.7 115.0	19-4905HO-HY-128-1830-03671150-0030A-7	30	12.53	97.1	32.853
036.7 115.0	19-4905HO-HY-128-1830-03671150-0042A-3	42	12.25	96.6	32.94
036.7 115.0	19-4905HO-HY-128-1830-03671150-0050A-7	50	12.01	96.0	32.989
036.7 115.0	19-4905HO-HY-128-1830-03671150-0062A-3	62	11.66	94.8	33.05
036.7 115.0	19-4905HO-HY-128-1830-03671150-0075A-7	75	11.41	93.2	33.074
036.7 115.0	19-4905HO-HY-128-1830-03671150-0083A-3	83	11.27	92.1	33.08
036.7 115.0	19-4905HO-HY-128-1830-03671150-0100A-7	100	10.88	89.4	33.095
036.7 115.0	19-4905HO-HY-128-1830-03671150-0120A-3	120	10.27	84.3	33.15
036.7 115.0	19-4905HO-HY-128-1830-03671150-0125A-7	125	10.04	82.0	33.19
036.7 115.0	19-4905HO-HY-128-1830-03671150-0150A-7	150	8.93	70.4	33.417
036.7 115.0	19-4905HO-HY-128-1830-03671150-0157A-3	157	8.62	67.2	33.49
036.7 115.0	19-4905HO-HY-128-1830-03671150-0200A-7	200	7.84	58.9	33.766
036.7 115.0	19-4905HO-HY-128-1830-03671150-0233A-3	233	7.6	56.0	33.89
036.7 115.0	19-4905HO-HY-128-1830-03671150-0250A-7	250	7.38	53.8	33.919
036.7 115.0	19-4905HO-HY-128-1830-03671150-0300A-7	300	6.79	47.3	33.941
036.7 115.0	19-4905HO-HY-128-1830-03671150-0312A-3	312	6.65	45.9	33.95
036.7 115.0	19-4905HO-HY-128-1830-03671150-0400A-7	400	5.77	32.8	33.975
