Sta_ID	Depth_ID	Depthm	T_degC	O2Sat	Salnty
036.7 115.0	19-4905HO-HY-128-1830-03671150-0476A-3	476	5.16	22.5	34.0
036.7 115.0	19-4905HO-HY-128-1830-03671150-0500A-7	500	5.03	20.2	34.029
036.7 115.0	19-4905HO-HY-128-1830-03671150-0600A-7	600	4.58	12.6	34.153
036.7 115.0	19-4905HO-HY-128-1830-03671150-0700A-7	700	4.28	8.0	34.284
036.7 115.0	19-4905HO-HY-128-1830-03671150-0742A-3	742	4.19	6.7	34.34
036.7 115.0	19-4905HO-HY-128-1830-03671150-0800A-7	800	4.04	7.1	34.36
036.7 115.0	19-4905HO-HY-128-1830-03671150-0900A-7	900	3.77	7.8	34.395
036.7 115.0	19-4905HO-HY-128-1830-03671150-1000A-7	1000	3.51	8.4	34.432
036.7 115.0	19-4905HO-HY-128-1830-03671150-1100A-7	1100	3.25	9.0	34.469
036.7 115.0	19-4905HO-HY-128-1830-03671150-1155A-3	1155	3.1	9.4	34.49
041.0 077.0	19-4907BD-HY-184-1254-04100770-0000B-3	0	14.0	120.0	32.83
041.0 077.0	19-4907BD-HY-184-1254-04100770-0009A-3	9	13.9	110.4	32.84
041.0 077.0	19-4907BD-HY-184-1254-04100770-0010A-7	10	13.9	108.4	32.843
041.0 077.0	19-4907BD-HY-184-1254-04100770-0020A-3	20	13.92	89.3	32.9
041.0 077.0	19-4907BD-HY-184-1254-04100770-0030A-7	30	13.24	89.2	32.89
041.0 077.0	19-4907BD-HY-184-1254-04100770-0041A-3	41	12.17	88.5	32.88
041.0 077.0	19-4907BD-HY-184-1254-04100770-0050A-7	50	11.27	81.0	33.073
041.0 077.0	19-4907BD-HY-184-1254-04100770-0062A-3	62	10.26	70.2	33.35
041.0 077.0	19-4907BD-HY-184-1254-04100770-0075A-7	75	9.89	64.1	33.373
041.0 077.0	19-4907BD-HY-184-1254-04100770-0083A-3	83	9.81	61.3	33.42
041.0 077.0	19-4907BD-HY-184-1254-04100770-0100A-7	100	9.56	55.1	33.474
041.0 077.0	19-4907BD-HY-184-1254-04100770-0125A-7	125	9.25	47.5	33.552
041.0 077.0	19-4907BD-HY-184-1254-04100770-0150A-7	150	9.01	42.0	33.627
041.0 077.0	19-4907BD-HY-184-1254-04100770-0161A-3	161	8.92	40.1	33.66
041.0 077.0	19-4907BD-HY-184-1254-04100770-0200A-7	200	8.48	38.8	33.788
041.0 077.0	19-4907BD-HY-184-1254-04100770-0234A-3	234	8.1	38.2	33.89
041.0 077.0	19-4907BD-HY-184-1254-04100770-0250A-7	250	7.91	35.1	33.917
041.0 077.0	19-4907BD-HY-184-1254-04100770-0300A-7	300	7.33	24.9	33.991
041.0 077.0	19-4907BD-HY-184-1254-04100770-0400A-7	400	6.31	22.1	34.09
041.0 077.0	19-4907BD-HY-184-1254-04100770-0428A-3	428	6.06	21.4	34.09
041.0 077.0	19-4907BD-HY-184-1254-04100770-0500A-7	500	5.64	16.4	34.151
041.0 077.0	19-4907BD-HY-184-1254-04100770-0600A-7	600	5.2	9.7	34.239
041.0 077.0	19-4907BD-HY-184-1254-04100770-0657A-3	657	5.02	5.9	34.29
039.0 096.0	19-4907BD-HY-185-0448-03900960-0000B-3	0	13.95	96.3	32.9
039.0 096.0	19-4907BD-HY-185-0448-03900960-0008A-3	8	13.99	70.2	32.82
039.0 096.0	19-4907BD-HY-185-0448-03900960-0010A-7	10	14.01	71.9	32.824
039.0 096.0	19-4907BD-HY-185-0448-03900960-0020A-7	20	14.07	80.0	32.83
039.0 096.0	19-4907BD-HY-185-0448-03900960-0021A-3	21	14.07	80.9	32.83
039.0 096.0	19-4907BD-HY-185-0448-03900960-0030A-7	30	13.9	91.8	32.834
039.0 096.0	19-4907BD-HY-185-0448-03900960-0042A-3	42	13.67	102.0	32.84
039.0 096.0	19-4907BD-HY-185-0448-03900960-0050A-7	50	12.96	97.6	32.835
039.0 096.0	19-4907BD-HY-185-0448-03900960-0063A-3	63	11.56	85.3	32.83
039.0 096.0	19-4907BD-HY-185-0448-03900960-0075A-7	75	10.38	75.5	32.819
039.0 096.0	19-4907BD-HY-185-0448-03900960-0084A-3	84	9.61	69.5	32.81
039.0 096.0	19-4907BD-HY-185-0448-03900960-0100A-7	100	8.95	66.8	32.917
039.0 096.0	19-4907BD-HY-185-0448-03900960-0125A-7	125	8.47	65.1	33.159
039.0 096.0	19-4907BD-HY-185-0448-03900960-0126A-3	126	8.46	65.1	33.17
039.0 096.0	19-4907BD-HY-185-0448-03900960-0150A-7	150	7.86	53.0	33.415
039.0 096.0	19-4907BD-HY-185-0448-03900960-0166A-3	166	7.52	44.8	33.57
039.0 096.0	19-4907BD-HY-185-0448-03900960-0200A-7	200	7.22	43.2	33.788
039.0 096.0	19-4907BD-HY-185-0448-03900960-0245A-3	245	7.0	41.3	33.95
039.0 096.0	19-4907BD-HY-185-0448-03900960-0250A-7	250	6.94	40.6	33.958
039.0 096.0	19-4907BD-HY-185-0448-03900960-0300A-7	300	6.31	34.1	33.982
039.0 096.0	19-4907BD-HY-185-0448-03900960-0330A-3	330	5.91	29.6	34.0
039.0 096.0	19-4907BD-HY-185-0448-03900960-0400A-7	400	5.4	20.9	34.056
039.0 096.0	19-4907BD-HY-185-0448-03900960-0500A-7	500	4.83	11.7	34.138
039.0 096.0	19-4907BD-HY-185-0448-03900960-0600A-7	600	4.44	8.9	34.218
039.0 096.0	19-4907BD-HY-185-0448-03900960-0700A-7	700	4.25	6.1	34.291
039.0 096.0	19-4907BD-HY-185-0448-03900960-0757A-3	757	4.22	4.4	34.33
039.0 096.0	19-4907BD-HY-185-0448-03900960-0800A-7	800	4.09	4.7	34.353
039.0 096.0	19-4907BD-HY-185-0448-03900960-0900A-7	900	3.78	5.2	34.407
039.0 096.0	19-4907BD-HY-185-0448-03900960-1000A-7	1000	3.47	5.7	34.462
039.0 096.0	19-4907BD-HY-185-0448-03900960-1049A-3	1049	3.32	5.9	34.49
036.7 115.0	19-4907BD-HY-185-2242-03671150-0000B-3	0	15.1	105.2	32.81
036.7 115.0	19-4907BD-HY-185-2242-03671150-0010A-3	10	14.62	72.3	32.81
036.7 115.0	19-4907BD-HY-185-2242-03671150-0020A-7	20	14.51	80.7	32.831
036.7 115.0	19-4907BD-HY-185-2242-03671150-0030A-7	30	14.35	83.9	32.845
036.7 115.0	19-4907BD-HY-185-2242-03671150-0050A-3	50	13.91	79.7	32.86
036.7 115.0	19-4907BD-HY-185-2242-03671150-0075A-3	75	11.76	77.5	32.81
036.7 115.0	19-4907BD-HY-185-2242-03671150-0100A-7	100	10.48	66.6	32.958
036.7 115.0	19-4907BD-HY-185-2242-03671150-0125A-7	125	9.46	55.9	33.174
036.7 115.0	19-4907BD-HY-185-2242-03671150-0148A-3	148	8.74	46.1	33.42
036.7 115.0	19-4907BD-HY-185-2242-03671150-0150A-7	150	8.69	46.1	33.44
036.7 115.0	19-4907BD-HY-185-2242-03671150-0197A-3	197	7.84	46.8	33.86
036.7 115.0	19-4907BD-HY-185-2242-03671150-0200A-7	200	7.8	46.5	33.859
036.7 115.0	19-4907BD-HY-185-2242-03671150-0250A-7	250	7.28	39.9	33.863
036.7 115.0	19-4907BD-HY-185-2242-03671150-0300A-7	300	6.83	32.4	33.893
036.7 115.0	19-4907BD-HY-185-2242-03671150-0387A-3	387	5.75	17.1	34.0
036.7 115.0	19-4907BD-HY-185-2242-03671150-0400A-7	400	5.64	16.2	34.01
036.7 115.0	19-4907BD-HY-185-2242-03671150-0500A-7	500	5.02	11.5	34.082
036.7 115.0	19-4907BD-HY-185-2242-03671150-0547A-3	547	4.89	5.3	34.25
036.7 115.0	19-4907BD-HY-185-2242-03671150-0571A-3	571	4.84	10.2	34.13
036.7 115.0	19-4907BD-HY-185-2242-03671150-0600A-7	600	4.75	9.5	34.15
036.7 115.0	19-4907BD-HY-185-2242-03671150-0700A-7	700	4.42	7.0	34.218
036.7 115.0	19-4907BD-HY-185-2242-03671150-0800A-7	800	4.1	4.8	34.289
036.7 115.0	19-4907BD-HY-185-2242-03671150-0858A-3	858	3.91	3.4	34.33
042.0 068.0	19-4908BD-HY-215-2248-04200680-0000B-3	0	16.58	104.3	32.5
042.0 068.0	19-4908BD-HY-215-2248-04200680-0009A-3	9	16.03	103.6	32.48
042.0 068.0	19-4908BD-HY-215-2248-04200680-0010A-7	10	15.98	104.0	32.507
042.0 068.0	19-4908BD-HY-215-2248-04200680-0020A-7	20	15.41	109.3	32.815
042.0 068.0	19-4908BD-HY-215-2248-04200680-0023A-3	23	15.2	110.8	32.92
042.0 068.0	19-4908BD-HY-215-2248-04200680-0030A-7	30	14.28	108.3	32.985
042.0 068.0	19-4908BD-HY-215-2248-04200680-0047A-3	47	11.86	101.7	32.99
042.0 068.0	19-4908BD-HY-215-2248-04200680-0050A-7	50	11.55	101.0	32.972
042.0 068.0	19-4908BD-HY-215-2248-04200680-0071A-3	71	9.87	96.8	32.9
042.0 068.0	19-4908BD-HY-215-2248-04200680-0075A-7	75	9.64	93.9	32.939
042.0 068.0	19-4908BD-HY-215-2248-04200680-0095A-3	95	8.81	77.7	33.21
042.0 068.0	19-4908BD-HY-215-2248-04200680-0100A-7	100	8.69	74.3	33.276
042.0 068.0	19-4908BD-HY-215-2248-04200680-0125A-7	125	8.25	59.9	33.569
042.0 068.0	19-4908BD-HY-215-2248-04200680-0142A-3	142	8.12	51.9	33.73
042.0 068.0	19-4908BD-HY-215-2248-04200680-0150A-7	150	8.04	48.7	33.779
042.0 068.0	19-4908BD-HY-215-2248-04200680-0189A-3	189	7.67	36.1	33.93
042.0 068.0	19-4908BD-HY-215-2248-04200680-0200A-7	200	7.56	34.2	33.948
042.0 068.0	19-4908BD-HY-215-2248-04200680-0250A-7	250	7.04	27.8	33.998
042.0 068.0	19-4908BD-HY-215-2248-04200680-0282A-3	282	6.72	25.8	34.0
042.0 068.0	19-4908BD-HY-215-2248-04200680-0300A-7	300	6.55	23.7	34.021
042.0 068.0	19-4908BD-HY-215-2248-04200680-0375A-3	375	5.92	15.9	34.11
042.0 068.0	19-4908BD-HY-215-2248-04200680-0400A-7	400	5.75	14.1	34.13
042.0 068.0	19-4908BD-HY-215-2248-04200680-0500A-7	500	5.18	9.0	34.193
042.0 068.0	19-4908BD-HY-215-2248-04200680-0561A-3	561	4.9	7.3	34.22
042.0 068.0	19-4908BD-HY-215-2248-04200680-0600A-7	600	4.79	7.4	34.233
042.0 068.0	19-4908BD-HY-215-2248-04200680-0700A-7	700	4.5	7.8	34.268
042.0 068.0	19-4908BD-HY-215-2248-04200680-0800A-7	800	4.21	8.0	34.304
042.0 068.0	19-4908BD-HY-215-2248-04200680-0900A-7	900	3.93	8.3	34.341
042.0 068.0	19-4908BD-HY-215-2248-04200680-1000A-7	1000	3.64	8.5	34.379
042.0 068.0	19-4908BD-HY-215-2248-04200680-1100A-7	1100	3.35	8.9	34.418
042.0 068.0	19-4908BD-HY-215-2248-04200680-1178A-3	1178	3.13	9.1	34.45
041.0 077.0	19-4908BD-HY-216-0524-04100770-0000B-3	0	16.55	103.8	32.66
041.0 077.0	19-4908BD-HY-216-0524-04100770-0010A-3	10	16.11	103.6	32.59
041.0 077.0	19-4908BD-HY-216-0524-04100770-0020A-7	20	15.7	103.3	32.59
041.0 077.0	19-4908BD-HY-216-0524-04100770-0024A-3	24	15.5	103.2	32.59
041.0 077.0	19-4908BD-HY-216-0524-04100770-0030A-7	30	14.98	103.0	32.613
041.0 077.0	19-4908BD-HY-216-0524-04100770-0047A-3	47	13.18	102.2	32.7
041.0 077.0	19-4908BD-HY-216-0524-04100770-0050A-7	50	12.84	101.6	32.702
041.0 077.0	19-4908BD-HY-216-0524-04100770-0071A-3	71	10.65	98.6	32.77
041.0 077.0	19-4908BD-HY-216-0524-04100770-0075A-7	75	10.36	96.9	32.811
041.0 077.0	19-4908BD-HY-216-0524-04100770-0094A-3	94	9.31	87.7	33.04
041.0 077.0	19-4908BD-HY-216-0524-04100770-0100A-7	100	9.14	85.1	33.11
041.0 077.0	19-4908BD-HY-216-0524-04100770-0125A-7	125	8.68	74.7	33.375
041.0 077.0	19-4908BD-HY-216-0524-04100770-0140A-3	140	8.6	68.4	33.51
041.0 077.0	19-4908BD-HY-216-0524-04100770-0150A-7	150	8.48	63.7	33.582
041.0 077.0	19-4908BD-HY-216-0524-04100770-0186A-3	186	8.09	48.3	33.78
041.0 077.0	19-4908BD-HY-216-0524-04100770-0200A-7	200	7.9	44.6	33.825
041.0 077.0	19-4908BD-HY-216-0524-04100770-0250A-7	250	7.24	35.3	33.935
041.0 077.0	19-4908BD-HY-216-0524-04100770-0276A-3	276	6.92	32.7	33.96
041.0 077.0	19-4908BD-HY-216-0524-04100770-0300A-7	300	6.74	29.9	33.99
041.0 077.0	19-4908BD-HY-216-0524-04100770-0366A-3	366	6.34	23.7	34.05
041.0 077.0	19-4908BD-HY-216-0524-04100770-0400A-7	400	6.1	20.1	34.074
041.0 077.0	19-4908BD-HY-216-0524-04100770-0500A-7	500	5.44	11.3	34.136
041.0 077.0	19-4908BD-HY-216-0524-04100770-0544A-3	544	5.16	8.2	34.16
041.0 077.0	19-4908BD-HY-216-0524-04100770-0600A-7	600	4.89	7.4	34.199
041.0 077.0	19-4908BD-HY-216-0524-04100770-0700A-7	700	4.46	6.2	34.267
041.0 077.0	19-4908BD-HY-216-0524-04100770-0800A-7	800	4.11	5.1	34.333
041.0 077.0	19-4908BD-HY-216-0524-04100770-0811A-3	811	4.08	4.9	34.34
041.0 077.0	19-4908BD-HY-216-0524-04100770-0900A-7	900	3.82	5.6	34.387
041.0 077.0	19-4908BD-HY-216-0524-04100770-1000A-7	1000	3.53	6.4	34.442
041.0 077.0	19-4908BD-HY-216-0524-04100770-1100A-7	1100	3.24	7.1	34.498
041.0 077.0	19-4908BD-HY-216-0524-04100770-1122A-3	1122	3.18	7.2	34.51
039.0 096.0	19-4908BD-HY-216-1730-03900960-0000B-3	0	16.75	105.3	32.61
039.0 096.0	19-4908BD-HY-216-1730-03900960-0010A-3	10	16.53	104.3	32.61
039.0 096.0	19-4908BD-HY-216-1730-03900960-0020A-7	20	15.67	104.8	32.579
039.0 096.0	19-4908BD-HY-216-1730-03900960-0024A-3	24	15.24	105.3	32.57
039.0 096.0	19-4908BD-HY-216-1730-03900960-0030A-7	30	14.62	106.0	32.576
039.0 096.0	19-4908BD-HY-216-1730-03900960-0048A-3	48	12.88	106.7	32.66
039.0 096.0	19-4908BD-HY-216-1730-03900960-0050A-7	50	12.74	106.4	32.677
039.0 096.0	19-4908BD-HY-216-1730-03900960-0072A-3	72	11.44	100.5	32.86
039.0 096.0	19-4908BD-HY-216-1730-03900960-0075A-7	75	11.29	99.9	32.873
039.0 096.0	19-4908BD-HY-216-1730-03900960-0096A-3	96	10.36	94.9	32.95
039.0 096.0	19-4908BD-HY-216-1730-03900960-0100A-7	100	10.21	94.0	32.971
039.0 096.0	19-4908BD-HY-216-1730-03900960-0125A-7	125	9.39	85.9	33.129
039.0 096.0	19-4908BD-HY-216-1730-03900960-0144A-3	144	8.94	77.6	33.28
039.0 096.0	19-4908BD-HY-216-1730-03900960-0150A-7	150	8.84	73.5	33.341
039.0 096.0	19-4908BD-HY-216-1730-03900960-0193A-3	193	8.33	42.9	33.77
039.0 096.0	19-4908BD-HY-216-1730-03900960-0200A-7	200	8.23	42.4	33.774
039.0 096.0	19-4908BD-HY-216-1730-03900960-0250A-7	250	7.56	39.1	33.812
039.0 096.0	19-4908BD-HY-216-1730-03900960-0300A-7	300	6.92	35.9	33.863
039.0 096.0	19-4908BD-HY-216-1730-03900960-0389A-3	389	5.87	30.3	33.98
039.0 096.0	19-4908BD-HY-216-1730-03900960-0400A-7	400	5.78	29.1	33.99
039.0 096.0	19-4908BD-HY-216-1730-03900960-0500A-7	500	5.04	18.8	34.08
039.0 096.0	19-4908BD-HY-216-1730-03900960-0600A-7	600	4.5	9.3	34.157
039.0 096.0	19-4908BD-HY-216-1730-03900960-0635A-3	635	4.36	6.1	34.18
039.0 096.0	19-4908BD-HY-216-1730-03900960-0700A-7	700	4.21	6.0	34.216
039.0 096.0	19-4908BD-HY-216-1730-03900960-0800A-7	800	3.99	5.9	34.272
039.0 096.0	19-4908BD-HY-216-1730-03900960-0900A-7	900	3.77	5.9	34.329
039.0 096.0	19-4908BD-HY-216-1730-03900960-1000A-7	1000	3.54	5.7	34.386
039.0 096.0	19-4908BD-HY-216-1730-03900960-1076A-3	1076	3.37	5.7	34.43
036.7 115.0	19-4908BD-HY-217-0636-03671150-0000B-3	0	17.9	105.1	32.86
036.7 115.0	19-4908BD-HY-217-0636-03671150-0010A-3	10	16.91	104.7	32.86
036.7 115.0	19-4908BD-HY-217-0636-03671150-0020A-7	20	16.62	105.0	32.856
036.7 115.0	19-4908BD-HY-217-0636-03671150-0025A-3	25	16.42	105.1	32.84
036.7 115.0	19-4908BD-HY-217-0636-03671150-0030A-7	30	15.57	107.4	32.782
036.7 115.0	19-4908BD-HY-217-0636-03671150-0049A-3	49	11.94	112.9	32.68
036.7 115.0	19-4908BD-HY-217-0636-03671150-0050A-7	50	11.82	112.4	32.691
036.7 115.0	19-4908BD-HY-217-0636-03671150-0073A-3	73	9.9	101.1	32.92
036.7 115.0	19-4908BD-HY-217-0636-03671150-0075A-7	75	9.76	100.8	32.899
036.7 115.0	19-4908BD-HY-217-0636-03671150-0098A-3	98	8.42	98.0	32.74
036.7 115.0	19-4908BD-HY-217-0636-03671150-0100A-7	100	8.39	97.6	32.748
036.7 115.0	19-4908BD-HY-217-0636-03671150-0125A-7	125	7.99	91.6	32.877
036.7 115.0	19-4908BD-HY-217-0636-03671150-0146A-3	146	7.66	84.2	33.03
036.7 115.0	19-4908BD-HY-217-0636-03671150-0150A-7	150	7.66	82.6	33.081
036.7 115.0	19-4908BD-HY-217-0636-03671150-0196A-3	196	7.83	64.1	33.66
036.7 115.0	19-4908BD-HY-217-0636-03671150-0200A-7	200	7.81	63.2	33.669
036.7 115.0	19-4908BD-HY-217-0636-03671150-0250A-7	250	7.36	53.7	33.778
036.7 115.0	19-4908BD-HY-217-0636-03671150-0300A-7	300	6.67	47.6	33.869
036.7 115.0	19-4908BD-HY-217-0636-03671150-0392A-3	392	5.59	32.1	34.0
036.7 115.0	19-4908BD-HY-217-0636-03671150-0400A-7	400	5.52	30.9	34.005
036.7 115.0	19-4908BD-HY-217-0636-03671150-0500A-7	500	4.85	18.7	34.051
036.7 115.0	19-4908BD-HY-217-0636-03671150-0588A-3	588	4.49	11.1	34.07
036.7 115.0	19-4908BD-HY-217-0636-03671150-0600A-7	600	4.45	10.8	34.081
036.7 115.0	19-4908BD-HY-217-0636-03671150-0700A-7	700	4.16	8.8	34.176
036.7 115.0	19-4908BD-HY-217-0636-03671150-0800A-7	800	3.94	6.8	34.275
036.7 115.0	19-4908BD-HY-217-0636-03671150-0884A-3	884	3.8	5.2	34.36
036.7 115.0	19-4908BD-HY-217-0636-03671150-0900A-7	900	3.76	5.4	34.367
036.7 115.0	19-4908BD-HY-217-0636-03671150-1000A-7	1000	3.52	6.6	34.412
036.7 115.0	19-4908BD-HY-217-0636-03671150-1100A-7	1100	3.28	7.8	34.458
036.7 115.0	19-4908BD-HY-217-0636-03671150-1200A-7	1200	3.04	9.1	34.505
036.7 115.0	19-4908BD-HY-217-0636-03671150-1232A-3	1232	2.96	9.5	34.52
042.0 068.0	19-4909BD-HY-248-2336-04200680-0000B-3	0	18.1	95.0	32.18
042.0 068.0	19-4909BD-HY-248-2336-04200680-0010A-3	10	17.63	101.8	32.23
042.0 068.0	19-4909BD-HY-248-2336-04200680-0020A-7	20	17.58	102.2	32.197
042.0 068.0	19-4909BD-HY-248-2336-04200680-0025A-3	25	17.55	102.5	32.18
042.0 068.0	19-4909BD-HY-248-2336-04200680-0030A-7	30	17.12	104.6	32.29
042.0 068.0	19-4909BD-HY-248-2336-04200680-0050A-3	50	14.36	108.9	32.79
042.0 068.0	19-4909BD-HY-248-2336-04200680-0075A-3	75	9.85	92.0	32.88
042.0 068.0	19-4909BD-HY-248-2336-04200680-0100A-7	100	8.45	80.6	33.054
042.0 068.0	19-4909BD-HY-248-2336-04200680-0101A-3	101	8.43	80.1	33.06
042.0 068.0	19-4909BD-HY-248-2336-04200680-0125A-7	125	8.25	69.7	33.357
042.0 068.0	19-4909BD-HY-248-2336-04200680-0150A-7	150	8.05	59.0	33.589
042.0 068.0	19-4909BD-HY-248-2336-04200680-0200A-3	200	7.67	42.3	33.93
042.0 068.0	19-4909BD-HY-248-2336-04200680-0250A-7	250	7.02	32.9	34.038
042.0 068.0	19-4909BD-HY-248-2336-04200680-0296A-3	296	6.44	27.5	34.04
042.0 068.0	19-4909BD-HY-248-2336-04200680-0300A-7	300	6.41	27.1	34.04
042.0 068.0	19-4909BD-HY-248-2336-04200680-0392A-3	392	5.83	17.0	34.04
042.0 068.0	19-4909BD-HY-248-2336-04200680-0400A-7	400	5.78	16.3	34.046
042.0 068.0	19-4909BD-HY-248-2336-04200680-0500A-7	500	5.16	8.7	34.13
042.0 068.0	19-4909BD-HY-248-2336-04200680-0585A-3	585	4.7	4.9	34.22
042.0 068.0	19-4909BD-HY-248-2336-04200680-0600A-7	600	4.64	5.1	34.228
042.0 068.0	19-4909BD-HY-248-2336-04200680-0700A-7	700	4.3	6.8	34.279
042.0 068.0	19-4909BD-HY-248-2336-04200680-0800A-7	800	4.02	8.4	34.318
042.0 068.0	19-4909BD-HY-248-2336-04200680-0878A-3	878	3.85	9.5	34.34
042.0 068.0	19-4909BD-HY-248-2336-04200680-0900A-7	900	3.79	9.5	34.349
042.0 068.0	19-4909BD-HY-248-2336-04200680-1000A-7	1000	3.53	9.3	34.392
042.0 068.0	19-4909BD-HY-248-2336-04200680-1100A-7	1100	3.26	9.1	34.435
042.0 068.0	19-4909BD-HY-248-2336-04200680-1200A-7	1200	2.99	8.9	34.479
042.0 068.0	19-4909BD-HY-248-2336-04200680-1224A-3	1224	2.93	8.9	34.49
041.0 077.0	19-4909BD-HY-249-0654-04100770-0000B-3	0	18.05	97.3	32.18
041.0 077.0	19-4909BD-HY-249-0654-04100770-0010A-7	10	17.6	95.3	32.162
041.0 077.0	19-4909BD-HY-249-0654-04100770-0011A-3	11	17.56	95.1	32.16
041.0 077.0	19-4909BD-HY-249-0654-04100770-0020A-7	20	17.49	94.0	32.183
041.0 077.0	19-4909BD-HY-249-0654-04100770-0027A-3	27	17.44	93.4	32.2
041.0 077.0	19-4909BD-HY-249-0654-04100770-0030A-7	30	17.1	94.1	32.252
041.0 077.0	19-4909BD-HY-249-0654-04100770-0050A-7	50	14.18	97.1	32.631
041.0 077.0	19-4909BD-HY-249-0654-04100770-0054A-3	54	13.46	97.6	32.72
041.0 077.0	19-4909BD-HY-249-0654-04100770-0075A-7	75	10.69	91.2	32.78
041.0 077.0	19-4909BD-HY-249-0654-04100770-0081A-3	81	10.03	89.6	32.79
041.0 077.0	19-4909BD-HY-249-0654-04100770-0100A-7	100	8.71	82.0	33.02
041.0 077.0	19-4909BD-HY-249-0654-04100770-0108A-3	108	8.36	78.2	33.13
041.0 077.0	19-4909BD-HY-249-0654-04100770-0125A-7	125	8.3	67.7	33.373
041.0 077.0	19-4909BD-HY-249-0654-04100770-0150A-7	150	8.21	51.4	33.619
041.0 077.0	19-4909BD-HY-249-0654-04100770-0160A-3	160	8.17	44.7	33.68
041.0 077.0	19-4909BD-HY-249-0654-04100770-0200A-7	200	7.77	30.5	33.91
041.0 077.0	19-4909BD-HY-249-0654-04100770-0212A-3	212	7.62	27.9	33.95
041.0 077.0	19-4909BD-HY-249-0654-04100770-0250A-7	250	7.01	27.9	33.946
041.0 077.0	19-4909BD-HY-249-0654-04100770-0300A-7	300	6.23	28.0	33.887
041.0 077.0	19-4909BD-HY-249-0654-04100770-0314A-3	314	6.02	28.0	33.86
041.0 077.0	19-4909BD-HY-249-0654-04100770-0400A-7	400	5.48	16.6	34.011
041.0 077.0	19-4909BD-HY-249-0654-04100770-0418A-3	418	5.42	13.9	34.05
